id_clube,nome_clube
1,Sao Caetano
2,Sao Paulo
3,Joinville
4,America-RN
5,Bragantino
6,Gremio
7,Botafogo-RJ
8,Corinthians
9,Fluminense
10,Internacional
11,Coritiba
12,Vasco
13,Cuiaba
14,Criciuma
15,Athletico-PR
16,Goias
17,Atletico-GO
18,Sport
19,Nautico
20,Chapecoense
21,Vitoria
22,Santo Andre
23,Paysandu
24,Ipatinga
25,Juventude
26,Barueri
27,Ceara
28,Santos
29,Santa Cruz
30,Cruzeiro
31,Figueirense
32,Fortaleza
33,Avai
34,CSA
35,Atletico-MG
36,Portuguesa
37,Bahia
38,Palmeiras
39,Parana
40,Guarani
41,Flamengo
42,Gremio Prudente
43,Brasiliense
44,Ponte Preta
45,Mirassol
46,America-MG
